TA2020_V1_00,TA2020_V1_00_NAME,TA2020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Far North District,Far North District,6683.63754,7322.168099
2,Whangarei District,Whangarei District,2711.912785,2853.979914
3,Kaipara District,Kaipara District,3108.696221,3114.572594
11,Thames-Coromandel District,Thames-Coromandel District,2207.214079,2298.907282
12,Hauraki District,Hauraki District,1270.154117,1270.154117
13,Waikato District,Waikato District,4403.775125,4516.457099
15,Matamata-Piako District,Matamata-Piako District,1755.378971,1755.378971
16,Hamilton City,Hamilton City,110.372808,110.936404
17,Waipa District,Waipa District,1470.06298,1470.06298
18,Ōtorohanga District,Otorohanga District,1999.175658,2064.375545
19,South Waikato District,South Waikato District,1818.875919,1818.875919
20,Waitomo District,Waitomo District,3534.832895,3548.220616
21,Taupo District,Taupo District,6333.054478,6963.856385
22,Western Bay of Plenty District,Western Bay of Plenty District,1951.119563,2117.461157
23,Tauranga City,Tauranga City,135.115368,174.962036
24,Rotorua District,Rotorua District,2409.207924,2619.130688
25,Whakatane District,Whakatane District,4450.091281,4464.804931
26,Kawerau District,Kawerau District,23.56218,23.56218
27,Ōpōtiki District,Opotiki District,3089.776559,3100.625179
28,Gisborne District,Gisborne District,8385.326465,8385.326465
29,Wairoa District,Wairoa District,4077.276726,4130.253823
30,Hastings District,Hastings District,5226.606357,5226.606357
31,Napier City,Napier City,105.051004,105.940051
32,Central Hawke's Bay District,Central Hawke's Bay District,3333.139975,3333.139975
33,New Plymouth District,New Plymouth District,2205.591903,2205.591903
34,Stratford District,Stratford District,2163.419139,2163.419139
35,South Taranaki District,South Taranaki District,3575.059192,3575.059192
36,Ruapehu District,Ruapehu District,6734.415966,6734.415966
37,Whanganui District,Whanganui District,2373.258954,2373.258954
38,Rangitikei District,Rangitikei District,4483.927019,4483.927019
39,Manawatu District,Manawatu District,2566.570445,2566.570445
40,Palmerston North City,Palmerston North City,394.744119,394.744119
41,Tararua District,Tararua District,4364.582086,4364.582086
42,Horowhenua District,Horowhenua District,1063.906161,1063.906161
43,Kapiti Coast District,Kapiti Coast District,731.520112,731.520112
44,Porirua City,Porirua City,174.812083,182.450693
45,Upper Hutt City,Upper Hutt City,539.868981,539.868981
46,Lower Hutt City,Lower Hutt City,376.403572,376.531841
47,Wellington City,Wellington City,289.846397,289.982582
48,Masterton District,Masterton District,2300.234817,2300.234817
49,Carterton District,Carterton District,1179.91147,1179.91147
50,South Wairarapa District,South Wairarapa District,2386.909147,2457.843291
51,Tasman District,Tasman District,9616.127595,14800.25636
52,Nelson City,Nelson City,422.193659,447.211487
53,Marlborough District,Marlborough District,10457.82327,12484.59023
54,Kaikoura District,Kaikoura District,2046.821707,2046.821707
55,Buller District,Buller District,7943.327317,7949.681633
56,Grey District,Grey District,3474.076299,3515.221003
57,Westland District,Westland District,11827.83279,11889.06902
58,Hurunui District,Hurunui District,8640.950057,8654.487788
59,Waimakariri District,Waimakariri District,2217.128346,2217.128346
60,Christchurch City,Christchurch City,1415.837257,1608.602046
62,Selwyn District,Selwyn District,6381.147873,6552.886487
63,Ashburton District,Ashburton District,6181.686705,6189.514871
64,Timaru District,Timaru District,2732.406581,2733.032815
65,Mackenzie District,Mackenzie District,7138.679496,7442.371938
66,Waimate District,Waimate District,3554.46288,3583.119583
67,Chatham Islands Territory,Chatham Islands Territory,793.688099,13577.68922
68,Waitaki District,Waitaki District,7107.685902,7216.68157
69,Central Otago District,Central Otago District,9933.341776,9968.376859
70,Queenstown-Lakes District,Queenstown-Lakes District,8719.64336,9375.193509
71,Dunedin City,Dunedin City,3286.2748,3350.435552
72,Clutha District,Clutha District,6334.517397,6369.507083
73,Southland District,Southland District,29552.39708,31084.25161
74,Gore District,Gore District,1253.846293,1253.846293
75,Invercargill City,Invercargill City,389.876726,495.327241
76,Auckland,Auckland,4941.072252,16156.20629
999,Area Outside Territorial Authority,Area Outside Territorial Authority,30.005684,127024.8396
